acid,epoxide,predicted_tg,dynamic_density
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,COc1cc(C)ccc1C(=O)NCCNCC(=O)N(CC1CO1)CC1CO1,359.5788140928624,0.0847457627118644
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,CCOC(=O)CCNC(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,358.82536313323413,0.0847457627118644
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,CC(=O)CCCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,358.82536313323413,0.0847457627118644
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,CCc1cccc(CN2CCc3ccc(OCC4CO4)cc3CC2)c1OCC1CO1,352.5046092907835,0.0847457627118644
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,O=C(Nc1ccc2oc(CO)cc2c1)c1ccc(OCC2CO2)cc1OCC1CO1,351.7038559022808,0.0847457627118644
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,Cc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)N(CC1CO1)CC1CO1,377.06170478735663,0.08333333333333333
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,Cn1cc(C(=O)Nc2ccc(OCC3CO3)cc2)c(OCC2CO2)nc1=O,378.7770528990721,0.08333333333333333
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,Cc1ccc(NC(=O)C=Cc2cccc(OCC3CO3)c2)c(OCC2CO2)c1,364.5474457615182,0.08333333333333333
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,N#Cc1ccccc1Oc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,359.9588734407326,0.08333333333333333
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,C(=Cc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cc1,359.9588734407326,0.08333333333333333
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,COc1cc(C)ccc1C(=O)NCCNCC(=O)N(CC1CO1)CC1CO1,359.5788140928624,0.08333333333333333
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,CCOC(=O)CCNC(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,358.82536313323413,0.08333333333333333
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,CC(=O)CCCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,358.82536313323413,0.08333333333333333
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,O=C(OCCCc1ccncc1)c1cc(OCC2CO2)cc(OCC2CO2)c1,355.0203062712063,0.08333333333333333
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,COc1cc(OCC2CO2)ncc1C(=O)Nc1cc(C)cc(OCC2CO2)c1,354.2195528827037,0.08333333333333333
Cc1ccc(C(=O)O)cc1NC(=O)NCC1(C(=O)O)CCOCC1,C(=Cc1cccc(OCC2CO2)c1)c1ccc(OCC2CO2)cc1,352.5046092907835,0.08333333333333333
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,CNC(=O)c1ccc(NC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,369.1227986808217,0.08196721311475409
O=C(O)CCN(CCC(=O)O)C(=O)CN(Cc1ccccc1)CC1(O)CCCC1,O=C(NCC1CO1)Nc1ccc(NC(=O)C(=O)NCc2ccc(OCC3CO3)cc2)cc1,361.84035579170217,0.08196721311475409
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,CC(=O)CCCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,358.89775237747716,0.08196721311475409
COc1cc(C)cc(C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,CC(=O)N1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1,358.82536313323413,0.08196721311475409
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,O=C(C(=O)N(Cc1ccccc1)CC1CO1)N1CCC(C2CO2)CC1,371.9631289374826,0.08163265306122448
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,Cc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)N(CC1CO1)CC1CO1,377.06170478735663,0.08163265306122448
O=C(O)c1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,Cc1ccc(NC(=O)C=Cc2cccc(OCC3CO3)c2)c(OCC2CO2)c1,364.5474457615182,0.08163265306122448
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,Cc1cc(NC(=O)CCCC2CO2)ccc1NC(=O)CCCC1CO1,359.8423919728162,0.08163265306122448
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,CC(=O)OCCCc1cccc(NC(=O)N(CC2CO2)CC2CO2)c1,359.8423919728162,0.08163265306122448
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,COC(=O)CCOc1ccc(NC(=O)C(CC2CO2)CC2CO2)cc1,359.8423919728162,0.08163265306122448
O=C(O)c1ncn(C(c2ccccc2)c2ccccc2)c1C(=O)O,CC(=O)CCC(=O)NCc1cccc(OCC2CO2)c1OCC1CO1,359.8423919728162,0.08163265306122448
