smiles,p_co2,alpha,d,interval
*Oc1cc2c(cc1O*)C1(c3cc4c(cc3-2)C(C)(C)CCC4(C)C)c2cc3c(cc2-c2cc4oc5cc6c(=O)n(-c7ccc(Oc8ccc(N9C(=O)c%10cc(*)c(*)cc%10C9=O)cc8)cc7C)c(=O)c6cc5oc4cc21)C(C)(C)CCC3(C)C,208.7953249863223,10.314406891649828,-1.8383197961436264,2.298350128818945
*Oc1ccc(-c2c(-c3ccc(C#N)cc3)c(-c3ccc(C#N)cc3)c(-c3ccc4c(c3)Oc3c(c(C(=O)c5ccccc5)c(*)c(*)c3C(=O)c3ccccc3)O4)c(-c3ccc(C#N)cc3)c2-c2ccc(C#N)cc2)cc1O*,112.28735338239882,16.32924245459499,-1.8462497967617892,2.298350128818945
*Oc1cc2c(cc1O*)C13c4ccccc4-c4ccccc4C(=C(C)C=C(c4cc(C)c(N5C(=O)c6cc(*)c(*)cc6C5=O)c5ccccc45)c4ccccc4-2)n2c(=O)c4cc5oc6cc(c1cc6oc5cc4c2=O)-c1cc2c(cc13)C(C)(C)CCC2(C)C,173.3652699230337,11.419621305970105,-1.8611475745363046,2.298350128818945
*Oc1cc2c(cc1O*)C13CC24CC2(c5ccccc5-c5ccccc52)c2cc5oc6cc7c(=O)n(c(=O)c7cc6oc5cc24)C(=C(C)C=C(c2cc(C)c(N4C(=O)c5cc(*)c(*)cc5C4=O)c(C)c2)C=C1C)c1cc2c(cc13)C(C)(C)CCC2(C)C,220.83007020700245,9.422735717090854,-1.86543945591513,2.298350128818945
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(c(S(=O)(=O)c2cc(F)cc(F)c2)c(*)c(*)c1C(=O)c1cc(F)cc(F)c1)O4,114.27820336540218,14.485537826127375,-1.9068009195842537,2.298350128818945
*Oc1cc2c(cc1O*)C1(C(C)C)c3cc4cc5c(cc4cc3C2(C#C)c2cc3oc4cc6c(=O)n(-c7c(C)cc(-c8cc(C)c(N9C(=O)c%10cc(*)c(*)cc%10C9=O)c(C)c8)cc7C)c(=O)c6cc4oc3cc21)C(C)(C)CCC5(C)C,165.78607556831093,10.665670702597254,-1.919433694123335,2.298350128818945
*Oc1cc2c(cc1O*)C1(c3cc4c(cc3-c3cc5c(cc31)C(C)(C)CCC5(C)C)Oc1c(c(S(=O)(=O)c3ccc([Si](C)(C)C)cc3)c(*)c(*)c1S(=O)(=O)c1ccc([Si](C)(C)C)cc1)O4)c1cc3c(cc1-2)C(C)(C)CCC3(C)C,119.57355332835581,13.249362935452147,-1.937894875496828,2.298350128818945
*Oc1cc2c(cc1O*)C1(C)c3cc4cc5c(cc4cc3C2(C)c2cc3oc4cc6c(=O)n(-c7c(C)cc(-c8cc(S)c(N9C(=O)c%10cc(*)c(*)cc%10C9=O)c9ccccc89)c8ccccc78)c(=O)c6cc4oc3cc21)C(C)(C)CCC5(C)C,189.0780080552254,9.15129620009261,-1.9494918064193647,2.298350128818945
*Oc1cc2c(cc1O*)C1(CCC)c3cc4c(cc3C2(CCC)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1cc2c(cc1C(*)(S(=O)(=O)c1ccc([Si](C)(C)C)cc1)O4)-c1cc3c(cc1-2)C(C)(C)CCC3(C)C,378.15426562493457,4.93563200836785,-1.9998431199997015,2.298350128818945
*Oc1cc2c(cc1O*)C13CC24CC2(c5ccccc5-c5ccccc52)c2cc5c(cc24)OC(=C(O5)C(C(=O)c2ccc([Si](C)(C)C)cc2)=C(*)C(*)=C1C(=O)c1ccc([Si](C)(C)C)cc1)C(C)(CC)C3C,148.75693624655543,9.833931601663314,-2.01271168239236,2.298350128818945
*Oc1cc2c(cc1O*)C13c4ccccc4-c4ccccc4C(=C(C)C=C(C)C(N4C(=O)c5cc(*)c(*)cc5C4=O)=C2C)n2c(=O)c4cc5oc6cc(c1cc6oc5cc4c2=O)-c1cc2c(cc13)C(C)(C)CCC2(C)C,137.36623590075874,10.375328220710072,-2.0168090254069666,2.298350128818945
